spatial_unit_id,sw_hw,FoliageFallRate,StemAnnualTurnoverRate,BranchTurnoverRate,CoarseRootTurnProp,FineRootTurnProp,OtherToBranchSnagSplit,CoarseRootAGSplit,FineRootAGSplit,StemSnag,BranchSnag
45,sw,0.10000000149011612,0.006000000052154064,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
46,sw,0.10000000149011612,0.0044999998062849045,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
47,sw,0.15000000596046448,0.006000000052154064,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
50,sw,0.05000000074505806,0.006000000052154064,0.029999999329447746,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
51,sw,0.05000000074505806,0.006000000052154064,0.029999999329447746,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
52,sw,0.10000000149011612,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
53,sw,0.10000000149011612,0.006000000052154064,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
54,sw,0.10000000149011612,0.0044999998062849045,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
58,sw,0.05000000074505806,0.006000000052154064,0.029999999329447746,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
59,sw,0.10000000149011612,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
1,hw,0.949999988079071,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
3,hw,0.949999988079071,0.006000000052154064,0.029999999329447746,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
4,hw,0.949999988079071,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
5,hw,0.949999988079071,0.0066999997943639755,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
6,hw,0.949999988079071,0.0066999997943639755,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
7,hw,0.949999988079071,0.0066999997943639755,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
11,hw,0.949999988079071,0.0066999997943639755,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
12,hw,0.949999988079071,0.0066999997943639755,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
13,hw,0.949999988079071,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
14,hw,0.949999988079071,0.006000000052154064,0.029999999329447746,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
15,hw,0.949999988079071,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
16,hw,0.949999988079071,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
17,hw,0.949999988079071,0.0066999997943639755,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
18,hw,0.949999988079071,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
19,hw,0.949999988079071,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
21,hw,0.949999988079071,0.006000000052154064,0.029999999329447746,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
22,hw,0.949999988079071,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
23,hw,0.949999988079071,0.004999999888241291,0.03999999910593033,0.02,0.641,0.25,0.5,0.5,0.03200000151991844,0.10000000149011612
