disturbance_matrix_id,source_pool,sink_pool,proportion
8,AboveGroundFastSoil,CO,0.027149999514222145
8,BelowGroundFastSoil,BelowGroundFastSoil,1.0
8,MediumSoil,MediumSoil,0.8665199875831604
8,MediumSoil,CO2,0.11973000317811966
8,MediumSoil,CH4,0.0011099999537691474
8,MediumSoil,CO,0.012199999764561653
8,AboveGroundSlowSoil,AboveGroundSlowSoil,0.9399999976158142
8,AboveGroundSlowSoil,CO2,0.04800000041723251
8,AboveGroundSlowSoil,CH4,0.0010000000474974513
8,AboveGroundSlowSoil,CO,0.010999999940395355
8,BelowGroundSlowSoil,BelowGroundSlowSoil,1.0
8,StemSnag,MediumSoil,0.8665199875831604
8,StemSnag,CO2,0.11973000317811966
8,StemSnag,CH4,0.0011099999537691474
8,StemSnag,CO,0.012199999764561653
8,BranchSnag,AboveGroundFastSoil,0.7027000188827515
8,BranchSnag,CO2,0.26657000184059143
8,BranchSnag,CH4,0.002469999948516488
8,BranchSnag,CO,0.027149999514222145
9,Merch,StemSnag,0.7746000289916992
9,Merch,CO2,0.2023099958896637
9,Merch,CH4,0.0021200000774115324
9,Merch,CO,0.02012000046670437
9,Foliage,CO2,0.8570899963378906
9,Foliage,CH4,0.012129999697208405
9,Foliage,CO,0.12937000393867493
9,Other,BranchSnag,0.6446999907493591
9,Other,CO2,0.3179999887943268
9,Other,CH4,0.004000000189989805
9,Other,CO,0.03200000151991844
9,CoarseRoots,AboveGroundFastSoil,0.5
9,CoarseRoots,BelowGroundFastSoil,0.5
9,FineRoots,AboveGroundVeryFastSoil,0.44040000438690186
9,FineRoots,BelowGroundVeryFastSoil,0.44040000438690186
9,FineRoots,CO2,0.1080000028014183
9,FineRoots,CO,0.010999999940395355
9,AboveGroundVeryFastSoil,CO2,0.9878000020980835
9,AboveGroundVeryFastSoil,CH4,0.0010000000474974513
9,AboveGroundVeryFastSoil,CO,0.010999999940395355
9,BelowGroundVeryFastSoil,BelowGroundVeryFastSoil,1.0
9,AboveGroundFastSoil,AboveGroundFastSoil,0.8456599712371826
9,AboveGroundFastSoil,CO2,0.13843999803066254
9,AboveGroundFastSoil,CH4,0.0012799999676644802
9,AboveGroundFastSoil,CO,0.014100000262260437
9,BelowGroundFastSoil,BelowGroundFastSoil,1.0
9,MediumSoil,MediumSoil,0.9328100085258484
9,MediumSoil,CO2,0.060270000249147415
9,MediumSoil,CH4,0.001120000029914081
9,MediumSoil,CO,0.00558000011369586
9,AboveGroundSlowSoil,AboveGroundSlowSoil,0.9700000286102295
9,AboveGroundSlowSoil,CO2,0.024000000208616257
9,AboveGroundSlowSoil,CH4,0.0010000000474974513
9,AboveGroundSlowSoil,CO,0.004999999888241291
9,BelowGroundSlowSoil,BelowGroundSlowSoil,1.0
9,StemSnag,MediumSoil,0.9328100085258484
9,StemSnag,CO2,0.060270000249147415
9,StemSnag,CH4,0.001120000029914081
9,StemSnag,CO,0.00558000011369586
9,BranchSnag,AboveGroundFastSoil,0.8456599712371826
9,BranchSnag,CO2,0.13843999803066254
9,BranchSnag,CH4,0.0012799999676644802
9,BranchSnag,CO,0.014100000262260437
10,Merch,StemSnag,1.0
10,Foliage,AboveGroundVeryFastSoil,0.8999999761581421
10,Foliage,CO2,0.10000000149011612
10,Other,BranchSnag,1.0
10,CoarseRoots,AboveGroundFastSoil,0.5
10,CoarseRoots,BelowGroundFastSoil,0.5
10,FineRoots,AboveGroundVeryFastSoil,0.5
10,FineRoots,BelowGroundVeryFastSoil,0.5
10,AboveGroundVeryFastSoil,AboveGroundVeryFastSoil,1.0
10,BelowGroundVeryFastSoil,BelowGroundVeryFastSoil,1.0
10,AboveGroundFastSoil,AboveGroundFastSoil,1.0
